Title,Price,Property Type,Bedrooms,Bathrooms,Area,Location
Apartment in North Riyadh，Al Arid 2 bedrooms 1170000 SAR - 87618021,"1,170,000",Apartment,2,3,122 Sq. M.,"Al Arid, North Riyadh, Riyadh"
"Villa for Sale in Al Fayha, East Riyadh","6,100,000",Villa,5,2,"1,232 Sq. M.","Al Fayha, East Riyadh, Riyadh"
"5 Bedroom Villa For Sale in Al-Faiha District, Riyadh","3,600,000",Villa,5,2,728 Sq. M.,"Al Fayha, East Riyadh, Riyadh"
"First Floor for Sale in Al Khaleej, East Riyadh","1,200,000",Floor,4,4,230 Sq. M.,"Al Khaleej, East Riyadh, Riyadh"
دور علوي ٤ غرف نوم للبيع في الخليج,"1,200,000",Floor,5,4,230 Sq. M.,"Al Khaleej, East Riyadh, Riyadh"
Floor in East Riyadh，Al Munsiyah 4 bedrooms 1300000 SAR - 87618559,"1,300,000",Floor,4,3,540 Sq. M.,"Al Munsiyah, East Riyadh, Riyadh"
"Villa for Sale on Sa'id Bin Rajas Street, Al-Arid Neighborhood, Riyadh City","2,800,000",Villa,5,5,230 Sq. M.,"Al Arid, North Riyadh, Riyadh"
"Villa for sale in King Abdulaziz neighborhood, Riyadh","4,000,000",Villa,5,4,357 Sq. M.,"King Abdulaziz District, East Riyadh, Riyadh"
Floor in East Riyadh，Al Rimal 4 bedrooms 1100000 SAR - 87618303,"1,100,000",Floor,4,5,260 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
4 bedroom floors for sale in Al Ramal,"1,100,000",Floor,4,5,260 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
Floor in East Riyadh，Qurtubah 3 bedrooms 1650000 SAR - 87617827,"1,650,000",Floor,3,4,172 Sq. M.,"Qurtubah, East Riyadh, Riyadh"
Floor in East Riyadh，Al Rimal 4 bedrooms 1100000 SAR - 87618299,"1,100,000",Floor,4,5,260 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
"Apartment for sale in Al-Sahafa neighborhood, Riyadh","1,400,000",Apartment,4,2,150 Sq. M.,"Al Sahafah, North Riyadh, Riyadh"
"The apartment for sale is located on Ahmed Al-Ghazali Street, Al-Ard District, Riyadh City","1,000,000",Apartment,3,3,118 Sq. M.,"Al Arid, North Riyadh, Riyadh"
"Floor for Sale in Al Janadriyah, East  Riyadh","950,000",Floor,6,3,195 Sq. M.,"Al Janadriyah, East Riyadh, Riyadh"
"Floor for sale in Badr, South Riyadh","550,000",Floor,7,6,450 Sq. M.,"Badr, South Riyadh, Riyadh"
"Villa for sale in  Al Mahdiyah, West Riyadh","3,600,000",Villa,11,9,400 Sq. M.,"Al Mahdiyah, West Riyadh, Riyadh"
شقه للبيع بحي قرطبه ،الرياض,"1,155,000",Apartment,3,3,853 Sq. M.,"Qurtubah, East Riyadh, Riyadh"
Apartment in East Riyadh，Al Rimal 3 bedrooms 900000 SAR - 87625610,"900,000",Apartment,3,3,142 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
دور تاون هاوس للبيع في القادسيه,"1,050,000",Floor,3,4,241 Sq. M.,"Al Janadriyah, East Riyadh, Riyadh"
"Villa for sale in Al-Mahdiyya, Riyadh","3,200,000",Villa,4,2,300 Sq. M.,"Al Mahdiyah, West Riyadh, Riyadh"
حى الخليج,"2,300,000",Villa,4,5,287 Sq. M.,"Al Maizilah, East Riyadh, Riyadh"
Modern apartment for sale in Al Munsiyah district,"1,150,000",Floor,2,3,144 Sq. M.,"Al Munsiyah, East Riyadh, Riyadh"
"3-Bedroom Floor For Sale in Akath, Riyadh","690,000",Floor,3,3,176 Sq. M.,"Okaz, South Riyadh, Riyadh"
"Apartment for Sale in Al Qadisiyah, East Riyadh","1,199,000",Apartment,4,4,199 Sq. M.,"Al Qadisiyah, East Riyadh, Riyadh"
"Apartment For Sale in Al Rawdah, East Riyadh","949,000",Apartment,3,3,120 Sq. M.,"Al Rawdah, East Riyadh, Riyadh"
"Floor for sale in Qadisiyah, east of Riyadh","1,000,000",Floor,5,3,168 Sq. M.,"Al Qadisiyah, East Riyadh, Riyadh"
Villa in Al Murouj neighborhood with an internal staircase (personal building),"6,500,000",Villa,11,11,437 Sq. M.,"Al Muruj, North Riyadh, Riyadh"
دور للبيع حي العارض ،الرياض,"1,800,000",Floor,3,5,57 Sq. M.,"Al Arid, North Riyadh, Riyadh"
"Apartment for Sale in Okaz, South Riyadh","529,000",Apartment,3,3,145 Sq. M.,"Okaz, South Riyadh, Riyadh"
"Apartment for Sale in Dhahrat Laban, West Riyadh","740,000",Apartment,4,2,225 Sq. M.,"Dhahrat Laban, West Riyadh, Riyadh"
"Villa for Sale in Al Izdihar, East Riyadh","3,750,000",Villa,3,4,"3,283 Sq. M.","Al Izdihar, East Riyadh, Riyadh"
"Building For Sale in Al Narjes, Riyadh","12,500,000",Building,N/A,N/A,352 Sq. M.,"Al Narjis, North Riyadh, Riyadh"
"Villa For Sale in Al Faruq, Central Riyadh","2,100,000",Villa,9,7,675 Sq. M.,"Al Faruq, Central Riyadh, Riyadh"
Ground floor apartment with a large and independent yard in Al Sultan Projects!,"730,000",Apartment,2,3,900 Sq. M.,"Dhahrat Laban, West Riyadh, Riyadh"
Apartment in South Riyadh，Okaz 2 bedrooms 469000 SAR - 87625456,"469,000",Apartment,2,3,127 Sq. M.,"Okaz, South Riyadh, Riyadh"
"Building for Sale in Al Khalidiyah, Central Riyadh","1,800,000",Residential Building,N/A,N/A,161 Sq. M.,"Al Khalidiyah, Central Riyadh, Riyadh"
"1 Bedroom Building For Sale in Al Ramal, Riyadh","7,000,000",Building,N/A,N/A,896 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
"Villa for sale, Al Arid district, Riyadh city","1,300,000",Floor,5,3,127 Sq. M.,"Al Arid, North Riyadh, Riyadh"
Floor in West Riyadh，Dhahrat Laban 5 bedrooms 2100000 SAR - 87617933,"2,100,000",Floor,5,3,450 Sq. M.,"Dhahrat Laban, West Riyadh, Riyadh"
"For Sale Residential Building in Manfuhah, Central Riyadh","150,000",Residential Building,11,7,116 Sq. M.,"Manfuhah, Central Riyadh, Riyadh"
"Villa for sale in Narjis, north of Riyadh","13,000,000",Villa,11,7,879 Sq. M.,"Al Narjis, North Riyadh, Riyadh"
"Apartment for sale in Al Saadah, east of Riyadh","680,000",Apartment,3,3,136 Sq. M.,"Al Saadah, East Riyadh, Riyadh"
"Villa for sale in Al Qadisiyah, East Riyadh","2,200,000",Villa,6,6,287 Sq. M.,"Al Qadisiyah, East Riyadh, Riyadh"
"Residential Building for Sale in Manfuhah, Central Riyadh","200,000",Residential Building,N/A,N/A,322 Sq. M.,"Manfuhah, Central Riyadh, Riyadh"
"Apartments for sale in Okaz, Riyadh","570,000",Apartment,5,3,177 Sq. M.,"Okaz, South Riyadh, Riyadh"
Modern ground floor for sale in Al-Monsia neighborhood,"1,600,000",Floor,3,4,206 Sq. M.,"Al Munsiyah, East Riyadh, Riyadh"
"Villa with an internal staircase, Al-Rimal, Deem Al-Majdiah","2,100,000",Villa,4,6,328 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
"Apartment for sale in Al Uraidi neighborhood, Riyadh city,","1,300,000",Apartment,4,3,87 Sq. M.,"Al Arid, North Riyadh, Riyadh"
Apartment in South Riyadh，Okaz 2 bedrooms 479000 SAR - 87617818,"479,000",Apartment,2,3,131 Sq. M.,"Okaz, South Riyadh, Riyadh"
Apartment in South Riyadh，Okaz 2 bedrooms 439000 SAR - 87617822,"439,000",Apartment,2,3,118 Sq. M.,"Okaz, South Riyadh, Riyadh"
Corner duplex villa with 7 bedrooms in Cordoba district,"3,750,000",Villa,7,7,343 Sq. M.,"Qurtubah, East Riyadh, Riyadh"
"Modern Duplex Villa for Sale in Qurtubah, East Riyadh","3,500,000",Villa,7,7,357 Sq. M.,"Qurtubah, East Riyadh, Riyadh"
"16 Bedroom Villa For Sale in Tawiq, Riyadh","1,750,000",Villa,6,5,420 Sq. M.,"Tuwaiq, West Riyadh, Riyadh"
Villa in Al Bayan neighborhood,"2,600,000",Villa,8,6,413 Sq. M.,"Al Bayan Neighborhood, East Riyadh, Riyadh"
"Apartments for Sale in Al Rimal, East Riyadh","717,000",Apartment,3,3,"18,490 Sq. M.","Al Rimal, East Riyadh, Riyadh"
"Villa for sale in Al Saadah, Riyadh","1,700,000",Villa,4,2,300 Sq. M.,"Al Saadah, East Riyadh, Riyadh"
"Apartment for Sale in Al Narjis, North Riyadh","1,765,000",Apartment,5,4,129 Sq. M.,"Al Narjis, North Riyadh, Riyadh"
Townhouse apartment - Riyadh - Badr neighborhood,"780,000",Apartment,9,4,242 Sq. M.,"Badr, South Riyadh, Riyadh"
Townhouse apartment - Riyadh - Badr neighborhood,"650,000",Apartment,5,5,149 Sq. M.,"Badr, South Riyadh, Riyadh"
Townhouse apartment - Riyadh - Badr district,"780,000",Apartment,9,4,242 Sq. M.,"Badr, South Riyadh, Riyadh"
"Apartment for sale in King Faisal District, East Riyadh","1,299,000",Apartment,3,2,750 Sq. M.,"King Faisal, East Riyadh, Riyadh"
"Floor For Sale in An Nafal, North Riyadh","1,845,000",Floor,3,3,"1,200 Sq. M.","Al Nafal, North Riyadh, Riyadh"
"Floor for sale in Al Nafal, north  Riyadh","2,200,000",Floor,3,3,"1,200 Sq. M.","Al Nafal, North Riyadh, Riyadh"
"Apartment for sale in Al Rimal, East Riyadh","549,000",Apartment,3,3,"18,490 Sq. M.","Al Rimal, East Riyadh, Riyadh"
"Villa for sale in Al Yasmin, north Riyadh","4,700,000",Villa,4,4,475 Sq. M.,"Al Yasmin, North Riyadh, Riyadh"
Villa - Riyadh - Al Janaderiyah,"1,900,000",Villa,8,7,350 Sq. M.,"Al Janadriyah, East Riyadh, Riyadh"
Villa for sale in Al Aridh district,"1,750,000",Floor,4,4,192 Sq. M.,"Al Arid, North Riyadh, Riyadh"
Floor in East Riyadh，Al Munsiyah 5 bedrooms 1350000 SAR - 87625349,"1,350,000",Floor,5,3,196 Sq. M.,"Al Munsiyah, East Riyadh, Riyadh"
"Villa for sale in Qurtubah, East Riyadh","4,000,000",Villa,4,4,420 Sq. M.,"Qurtubah, East Riyadh, Riyadh"
Townhouse apartment - Riyadh - Badr neighborhood,"650,000",Apartment,5,5,149 Sq. M.,"Badr, South Riyadh, Riyadh"
Townhouse apartment - Riyadh - Badr neighborhood,"650,000",Apartment,5,5,149 Sq. M.,"Badr, South Riyadh, Riyadh"
Duplex Villa - Riyadh - Al Janaderiya,"1,450,000",Villa,8,6,217 Sq. M.,"Al Janadriyah, East Riyadh, Riyadh"
Apartment - Riyadh - Sweidi neighborhood,"640,000",Apartment,4,3,147 Sq. M.,"Al Suwaidi, West Riyadh, Riyadh"
Apartment in East Riyadh，Al Munsiyah 3 bedrooms 1150000 SAR - 87625361,"1,150,000",Apartment,3,3,134 Sq. M.,"Al Munsiyah, East Riyadh, Riyadh"
Apartment - Riyadh - Al Marwah neighborhood,"660,000",Apartment,4,3,164 Sq. M.,"Al Marwa, South Riyadh, Riyadh"
Durr - Riyadh - Al Janaderiyah,"1,200,000",Floor,5,4,200 Sq. M.,"Al Janadriyah, East Riyadh, Riyadh"
Townhouse apartment - Riyadh - Al Janaderiya neighborhood,"1,300,000",Apartment,6,5,315 Sq. M.,"Al Janadriyah, East Riyadh, Riyadh"
Penthouse apartment - Riyadh - Badr neighborhood,"520,000",Apartment,4,4,116 Sq. M.,"Badr, South Riyadh, Riyadh"
Apartment in East Riyadh，Al Rimal 3 bedrooms 859000 SAR - 87616524,"859,000",Apartment,3,3,145 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
Villa - Riyadh - Al Marjan (East),"1,800,000",Villa,13,12,540 Sq. M.,"Al Murjan, East Riyadh, Riyadh"
Floor in East Riyadh，Al Rimal 4 bedrooms 1100000 SAR - 87618300,"1,100,000",Floor,4,5,260 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
"Villa for sale in Al Janadriyah, East Riyadh","1,450,000",Villa,8,6,361 Sq. M.,"Al Janadriyah, East Riyadh, Riyadh"
"Villa for sale in Al Mahdiyah, West Riyadh","7,500,000",Villa,13,10,750 Sq. M.,"Al Mahdiyah, West Riyadh, Riyadh"
"Apartment for sale in  Al Qadisiyah, East Riyadh","1,450,000",Apartment,6,8,306 Sq. M.,"Al Qadisiyah, East Riyadh, Riyadh"
"3 bedroom apartment for sale in Narges, Riyadh","1,600,000",Floor,3,3,157 Sq. M.,"Al Narjis, North Riyadh, Riyadh"
"For Sale Apartment in Okaz, South Riyadh","559,000",Apartment,3,3,149 Sq. M.,"Okaz, South Riyadh, Riyadh"
"For Sale Apartment in Okaz, South Riyadh","529,000",Apartment,2,3,145 Sq. M.,"Okaz, South Riyadh, Riyadh"
Apartment in South Riyadh，Okaz 3 bedrooms 559000 SAR - 87625493,"559,000",Apartment,3,3,124 Sq. M.,"Okaz, South Riyadh, Riyadh"
Apartment in South Riyadh，Okaz 3 bedrooms 559000 SAR - 87625491,"559,000",Apartment,3,3,149 Sq. M.,"Okaz, South Riyadh, Riyadh"
"Apartment for Sale in Okaz, South Riyadh","479,000",Apartment,2,3,131 Sq. M.,"Okaz, South Riyadh, Riyadh"
Durr - Riyadh - Al Janaderiya neighborhood,"1,200,000",Floor,5,4,200 Sq. M.,"Al Janadriyah, East Riyadh, Riyadh"
Townhouse - Riyadh - Al Janadriyah district,"1,300,000",Apartment,6,5,315 Sq. M.,"Al Janadriyah, East Riyadh, Riyadh"
Villa - Riyadh - Tuwaiq District,"1,100,000",Villa,10,5,265 Sq. M.,"Tuwaiq, West Riyadh, Riyadh"
Penthouse apartment - Riyadh - Badr district,"540,000",Apartment,4,4,137 Sq. M.,"Badr, South Riyadh, Riyadh"
Apartment - Riyadh - Al Munsiyah neighborhood,"1,100,000",Apartment,4,3,153 Sq. M.,"Al Munsiyah, East Riyadh, Riyadh"
"Roof apartment for sale in Badr, South Riyadh","780,000",Apartment,4,4,185 Sq. M.,"Badr, South Riyadh, Riyadh"
"Apartment for sale in Badr, south of Riyadh","780,000",Apartment,4,4,185 Sq. M.,"Badr, South Riyadh, Riyadh"
Townhouse apartment - Riyadh - Al Munsiyah,"1,500,000",Apartment,5,4,216 Sq. M.,"Al Munsiyah, East Riyadh, Riyadh"
Apartment - Riyadh - Al Munsiyah,"1,500,000",Apartment,4,4,216 Sq. M.,"Al Munsiyah, East Riyadh, Riyadh"
Apartment - Riyadh - Al-Mansiyah,"1,500,000",Apartment,4,4,216 Sq. M.,"Al Munsiyah, East Riyadh, Riyadh"
Townhouse apartment - Riyadh - Al Munsiyah,"1,500,000",Apartment,5,4,216 Sq. M.,"Al Munsiyah, East Riyadh, Riyadh"
حى الخليج,"1,500,000",Floor,4,5,230 Sq. M.,"Al Khaleej, East Riyadh, Riyadh"
حى الخليج,"1,500,000",Floor,4,5,230 Sq. M.,"Al Khaleej, East Riyadh, Riyadh"
"Apartment for Sale in Okaz, South Riyadh","539,000",Apartment,3,3,145 Sq. M.,"Okaz, South Riyadh, Riyadh"
"Duplex Villa for Sale in Al Yarmuk, East Riyadh","2,600,000",Villa,5,5,376 Sq. M.,"Al Yarmuk, East Riyadh, Riyadh"
Modern corner duplex villa for sale,"2,750,000",Villa,5,5,376 Sq. M.,"Al Yarmuk, East Riyadh, Riyadh"
"Villa for sale in Al Zahrah, West Riyadh","1,300,000",Villa,9,7,400 Sq. M.,"Al Zahrah, West Riyadh, Riyadh"
Property for Sale,"1,575,000",Land,N/A,N/A,450 Sq. M.,"Dhahrat Laban, West Riyadh, Riyadh"
"Land For Sale in Al Aarid, Riyadh","3,402,880",Land,N/A,N/A,425 Sq. M.,"Al Arid, North Riyadh, Riyadh"
"Land for Sale in Al Aarid, Riyadh","8,825,025",Land,N/A,N/A,928 Sq. M.,"Al Arid, North Riyadh, Riyadh"
Apartment in East Riyadh，Al Qadisiyah 3 bedrooms 740000 SAR - 87625029,"740,000",Apartment,3,3,50 Sq. M.,"Al Qadisiyah, East Riyadh, Riyadh"
"Land For Sale in Al Shuala, Riyadh","392,927",Land,N/A,N/A,755 Sq. M.,"Al Sholah, Riyadh"
"🏫 Duplexes, floors, and luxurious apartments for sale in Al Khaleej District.","1,300,000",Floor,6,6,900 Sq. M.,"Al Khaleej, East Riyadh, Riyadh"
"6 bedroom villa for sale in Al Awali, Riyadh","2,000,000",Villa,6,5,300 Sq. M.,"Alawali, West Riyadh, Riyadh"
"4-bedroom floor for sale in Dhahrat Al Badiah, Riyadh","900,000",Floor,4,3,750 Sq. M.,"Dhahrat Al Badiah, West Riyadh, Riyadh"
Apartment - Riyadh - Al Janaderiyah,"730,000",Apartment,6,3,164 Sq. M.,"Al Janadriyah, East Riyadh, Riyadh"
Apartment in Hatteen neighborhood,"1,200,000",Apartment,4,2,146 Sq. M.,"Hittin, North Riyadh, Riyadh"
Land for sale in Al Aridh district,"2,925,000",Land,N/A,N/A,450 Sq. M.,"Al Arid, North Riyadh, Riyadh"
Land in Al-Ramal residential/commercial district,"5,722",Land,N/A,N/A,"2,796 Sq. M.","Al Rimal, East Riyadh, Riyadh"
Land of Good Will,"1,001,250",Residential Land,N/A,N/A,375 Sq. M.,"Al Kair District, North Riyadh, Riyadh"
"Riyadh, Louban district","850,000",Apartment,3,3,147 Sq. M.,"Dhahrat Laban, West Riyadh, Riyadh"
Roof apartment - Riyadh - Al Ramal,"1,150,000",Apartment,5,5,188 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
Apartment - Riyadh - Al Ramal,"800,000",Apartment,5,3,158 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
"Residential Land for sale in  Al Malqa, North Riyadh","11,000",Residential Land,N/A,N/A,450 Sq. M.,"Al Malqa, North Riyadh, Riyadh"
"Residential Land for Sale in Al Arid, North Riyadh","7,600",Residential Land,N/A,N/A,"1,778 Sq. M.","Al Arid, North Riyadh, Riyadh"
"Residential Land for Sale in Al Arid, North Riyadh","8,200",Residential Land,N/A,N/A,500 Sq. M.,"Al Arid, North Riyadh, Riyadh"
Villa for sale in Ishbiliya district,"4,000,000",Villa,11,11,420 Sq. M.,"Ishbiliyah, East Riyadh, Riyadh"
"Land for sale in Dahiat Namar, west of Riyadh","2,500,750",Residential Land,N/A,N/A,875 Sq. M.,"Dahiat Namar, West Riyadh, Riyadh"
"Apartment For Sale in Al Ramal, Riyadh","995,000",Apartment,2,3,137 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
"Residential land for sale in Al Narjis, North Riyadh","3,024,000",Residential Land,N/A,N/A,378 Sq. M.,"Al Narjis, North Riyadh, Riyadh"
"Apartment for Sale in Al Mughrizat, North Riyadh","1,865,000",Apartment,3,4,750 Sq. M.,"Al Mughrizat, North Riyadh, Riyadh"
"3 Bedrooms Floor For Sale in Al Aarid, Riyadh","1,225,000",Floor,3,3,145 Sq. M.,"Al Arid, North Riyadh, Riyadh"
"Apartment for sale in Al Arid, north of Riyadh","950,000",Apartment,2,2,100 Sq. M.,"Al Arid, North Riyadh, Riyadh"
"7 bedroom villa for sale in Dar Al Bayda, Riyadh","1,170,000",Villa,7,5,240 Sq. M.,"Al Dar Al Baida, South Riyadh, Riyadh"
"Residential Land for Sale in Uraidh, South Riyadh","421,200",Residential Land,N/A,N/A,312 Sq. M.,"Uraidh, South Riyadh, Riyadh"
"Apartment for Sale in Dhahrat Laban, West Riyadh","590,000",Apartment,3,3,893 Sq. M.,"Dhahrat Laban, West Riyadh, Riyadh"
"Villa for sale in Yarmuk, East Riyadh","2,350,000",Villa,5,5,250 Sq. M.,"Al Yarmuk, East Riyadh, Riyadh"
Luxurious and furnished apartment in Al-Aridh neighborhood,"1,340,000",Apartment,3,3,119 Sq. M.,"Al Arid, North Riyadh, Riyadh"
"16 Rooms villa for sale in Al Amal neighborhood, Riyadh","2,500,000",Villa,11,9,551 Sq. M.,"Al Amal, Central Riyadh, Riyadh"
"5 Bedroom Villa For Sale in Dahrat Laban, Riyadh","2,700,000",Villa,5,4,536 Sq. M.,"Dhahrat Laban, West Riyadh, Riyadh"
"Villa for sale in  Al Olaya, North Riyadh","7,500,000",Villa,10,7,600 Sq. M.,"Al Olaya, North Riyadh, Riyadh"
"Villa for sale in  Al Yasmin, North Riyadh","4,000,000",Villa,5,7,325 Sq. M.,"Al Yasmin, North Riyadh, Riyadh"
"Apartment for sale in Tuwaiq, West Riyadh","765,000",Apartment,3,3,152 Sq. M.,"Tuwaiq, West Riyadh, Riyadh"
"Floors for Sale in Shubra, West Riyadh","600,000",Floor,3,4,500 Sq. M.,"Shubra, West Riyadh, Riyadh"
"Floor for Sale in Al Narjis, North Riyadh","1,332,000",Floor,3,3,900 Sq. M.,"Al Narjis, North Riyadh, Riyadh"
"Villa for Sale in Al Munsiyah, East Riyadh","3,200,000",Villa,5,4,309 Sq. M.,"Al Munsiyah, East Riyadh, Riyadh"
"Apartment for Sale in Al Mughrizat, North Riyadh","1,380,000",Apartment,2,2,100 Sq. M.,"Al Mughrizat, North Riyadh, Riyadh"
"Apartments for Sale in Al Mughrizat, North Riyadh","1,790,000",Apartment,3,4,180 Sq. M.,"Al Mughrizat, North Riyadh, Riyadh"
"Land in Al Narjes district, 900 square meters, 20 Street","7,200,000",Residential Land,N/A,N/A,900 Sq. M.,"Al Narjis, North Riyadh, Riyadh"
"Apartment For Sale in Tuwaiq, West Riyadh","800,000",Apartment,2,4,186 Sq. M.,"Tuwaiq, West Riyadh, Riyadh"
"Villa for Sale in Al Rabi, North Riyadh","3,500,000",Villa,6,4,338 Sq. M.,"Al Rabi, North Riyadh, Riyadh"
For sale two lands in Riyadh in Namir district demonstrations:,"995,400",Residential Land,N/A,N/A,553 Sq. M.,"Namar, West Riyadh, Riyadh"
"Istiraha for sale in Dirab, West Riyadh","10,000,000",Rest House,10,10,"8,060 Sq. M.","Dirab, West Riyadh, Riyadh"
"Residential Land for Sale in Al Mahdiyah, West Riyadh","3,480,750",Residential Land,N/A,N/A,773 Sq. M.,"Al Mahdiyah, West Riyadh, Riyadh"
"Residential Land for sale in Tuwaiq, West Riyadh","1,120,000",Residential Land,N/A,N/A,400 Sq. M.,"Tuwaiq, West Riyadh, Riyadh"
Residential Land for Sale in Al Riyadh,"830,250",Residential Land,N/A,N/A,375 Sq. M.,Riyadh
5 Bedrooms Apartment For Sale Riyadh,"750,000",Floor,5,4,245 Sq. M.,"Badr, South Riyadh, Riyadh"
"Floor for Sale in Al Narjis, North Riyadh","1,300,000",Floor,4,4,132 Sq. M.,"Al Narjis, North Riyadh, Riyadh"
"Residential land for sale in Ardh Ardh, South Riyadh","819,000",Residential Land,N/A,N/A,910 Sq. M.,"Uraidh, South Riyadh, Riyadh"
"Building for Sale in Qurtubah, East Riyadh","15,000,000",Residential Building,11,7,900 Sq. M.,"Qurtubah, East Riyadh, Riyadh"
"Residential Land for Sale in Al Yasmin, Riyadh","21,621,600",Residential Land,N/A,N/A,"2,808 Sq. M.","Al Yasmin, North Riyadh, Riyadh"
Residential Land in South Riyadh，Uraidh 837200 SAR - 87622121,"837,200",Residential Land,N/A,N/A,364 Sq. M.,"Uraidh, South Riyadh, Riyadh"
"For Sale Apartment in a Villa in Al Qadisiyah, East Riyadh","850,000",Apartment,3,3,88 Sq. M.,"Al Qadisiyah, East Riyadh, Riyadh"
"Internal Staircase Villa for Sale in Al Nahdah, West Riyadh","2,400,000",Villa,7,8,460 Sq. M.,"Al Nahdah, East Riyadh, Riyadh"
"Apartment for sale in Al Qadisiyah, East Riyadh","1,200,000",Floor,4,4,222 Sq. M.,"Al Qadisiyah, East Riyadh, Riyadh"
"Modern Villa for Sale in Al Munsiyah, East Riyadh","3,600,000",Villa,6,9,320 Sq. M.,"Al Munsiyah, East Riyadh, Riyadh"
Floor in East Riyadh，Qurtubah 3 bedrooms 1850000 SAR - 87613171,"1,850,000",Floor,3,4,200 Sq. M.,"Qurtubah, East Riyadh, Riyadh"
Floor in East Riyadh，Al Munsiyah 4 bedrooms 1550000 SAR - 87610493,"1,550,000",Floor,4,6,206 Sq. M.,"Al Munsiyah, East Riyadh, Riyadh"
Floor in East Riyadh，Al Munsiyah 4 bedrooms 1600000 SAR - 87610490,"1,600,000",Floor,4,5,206 Sq. M.,"Al Munsiyah, East Riyadh, Riyadh"
Floor in East Riyadh，Al Yarmuk 6 bedrooms 1850000 SAR - 87610489,"1,850,000",Floor,6,6,405 Sq. M.,"Al Yarmuk, East Riyadh, Riyadh"
"Ground Floor for sale in Al Yarmuk, East Riyadh","1,750,000",Floor,4,5,405 Sq. M.,"Al Yarmuk, East Riyadh, Riyadh"
"Floor for sale in Qurtubah, east Riyadh","1,850,000",Floor,4,4,200 Sq. M.,"Qurtubah, East Riyadh, Riyadh"
Apartment in East Riyadh，Qurtubah 4 bedrooms 1450000 SAR - 87613169,"1,450,000",Apartment,4,3,156 Sq. M.,"Qurtubah, East Riyadh, Riyadh"
Apartment in East Riyadh，Al Rimal 5 bedrooms 1200000 SAR - 87625057,"1,200,000",Apartment,5,3,162 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
Villa in East Riyadh，Al Rimal 6 bedrooms 2100000 SAR - 87624907,"2,100,000",Villa,6,5,328 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
"Villa for Sale in Badr, South Riyadh","1,300,000",Villa,6,5,375 Sq. M.,"Badr, South Riyadh, Riyadh"
Floor in East Riyadh，Qurtubah 3 bedrooms 1650000 SAR - 87610532,"1,650,000",Floor,3,4,198 Sq. M.,"Qurtubah, East Riyadh, Riyadh"
"Apartment for sale in  Al Qadisiyah, East Riyadh","905,000",Apartment,4,4,159 Sq. M.,"Al Qadisiyah, East Riyadh, Riyadh"
"Villa for Sale in Al Hazm, West Riyadh","2,800,000",Villa,9,7,750 Sq. M.,"Al Hazm, West Riyadh, Riyadh"
"Residential Building for sale in Al Ud, Central Riyadh","1,300,000",Residential Building,4,3,122 Sq. M.,"Al Ud, Central Riyadh, Riyadh"
"Al Ramal neighborhood, east Riyadh","1,200,000",Floor,4,3,157 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
Apartment in East Riyadh，Al Munsiyah 6 bedrooms 1900000 SAR - 87624910,"1,900,000",Apartment,6,5,173 Sq. M.,"Al Munsiyah, East Riyadh, Riyadh"
"Villa for sale in Al Mahdiyah, West Riyadh","2,700,000",Villa,5,5,400 Sq. M.,"Al Mahdiyah, West Riyadh, Riyadh"
"Townhouse for Sale in Dhahrat Laban, West Riyadh","1,200,000",Villa,4,4,900 Sq. M.,"Dhahrat Laban, West Riyadh, Riyadh"
"Apartments for Sale in Al Rimal, East Riyadh","950,000",Apartment,4,3,155 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
"Villa for Sale in Al Yarmuk, East Riyadh","3,200,000",Villa,5,3,250 Sq. M.,"Al Yarmuk, East Riyadh, Riyadh"
Floor in East Riyadh，Al Janadriyah 4 bedrooms 1200000 SAR - 87624929,"1,200,000",Floor,4,5,213 Sq. M.,"Al Janadriyah, East Riyadh, Riyadh"
Luxury townhouse,"1,300,000",Floor,3,3,162 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
"Villa for sale in Al Mahdiyah, west Riyadh","2,800,000",Villa,6,5,400 Sq. M.,"Al Mahdiyah, West Riyadh, Riyadh"
"Villa for sale in Al Narjis, North Riyadh","3,464,500",Villa,6,6,260 Sq. M.,"Al Narjis, North Riyadh, Riyadh"
"Villa for sale in As Sahafah, North Riyadh","3,549,998",Villa,5,4,300 Sq. M.,"Al Sahafah, North Riyadh, Riyadh"
"Floor for sale in Al Maizilah, East Riyadh","900,000",Floor,4,3,276 Sq. M.,"Al Maizilah, East Riyadh, Riyadh"
"Duplex Villa for Sale in Al Yarmuk, East Riyadh","2,350,000",Villa,6,5,250 Sq. M.,"Al Yarmuk, East Riyadh, Riyadh"
